측정시간,지역명,사업장명,배출구,암모니아_허용기준,암모니아_측정값,질소산화물_허용기준,질소산화물_측정값,황산화물_허용기준,황산화물_측정값,먼지_허용기준,먼지_측정값,불화수소_허용기준,불화수소_측정값,염화수소_허용기준,염화수소_측정값,일산화탄소_허용기준,일산화탄소_측정값
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,1,NaN,NaN,140,71.94,135.1,93.33,18.2,3.27,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,123,NaN,NaN,140,71.38,140,25.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,132,NaN,NaN,150,43.66,140,10.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,15,NaN,NaN,105,90.16,140,1.25,NaN,NaN,NaN,NaN,5,0.80,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,153,NaN,NaN,150,95.40,140,88.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,154,NaN,NaN,150,93.76,140,82.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,155,NaN,NaN,150,136.49,140,74.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,156,NaN,NaN,150,127.42,140,76.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,16,NaN,NaN,105,19.52,140,1.12,NaN,NaN,NaN,NaN,5,0.68,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,17,NaN,NaN,150,97.47,140,0.01,NaN,NaN,NaN,NaN,5,0.40,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,18,NaN,NaN,105,57.56,140,0.86,NaN,NaN,NaN,NaN,5,2.19,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,2,NaN,NaN,140,82.80,135.1,109.30,18.2,4.27,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,20,NaN,NaN,150,98.59,140,0.00,NaN,NaN,NaN,NaN,5,1.59,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,24,NaN,NaN,35,16.13,14,0.28,10.5,0.68,NaN,NaN,8,0.23,50,0.13
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,25,NaN,NaN,21,11.02,42,28.44,14,1.52,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,26,NaN,NaN,21,8.56,42,26.49,14,0.43,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,27,NaN,NaN,21,9.88,42,24.45,14,1.75,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,28,NaN,NaN,21,9.86,42,20.22,14,1.75,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,29,NaN,NaN,28,5.80,42,19.08,14,2.68,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,3,NaN,NaN,140,82.04,135.1,84.48,18.2,5.80,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,30,NaN,NaN,21,0.86,42,19.99,14,1.73,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,31,NaN,NaN,28,11.32,42,19.01,14,1.16,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,32,NaN,NaN,21,6.25,42,14.13,14,0.40,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,45,NaN,NaN,150,106.86,140,0.00,NaN,NaN,NaN,NaN,5,0.04,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,47,NaN,NaN,105,39.06,140,1.11,NaN,NaN,NaN,NaN,5,3.51,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,49,NaN,NaN,70,48.77,63,40.05,18.2,6.41,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,51,NaN,NaN,105,39.54,140,0.09,7,0.23,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,52,NaN,NaN,105,41.89,NaN,NaN,7,0.61,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,53,NaN,NaN,17.5,11.47,14,9.68,7,0.00,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,54,NaN,NaN,17.5,12.32,14,8.72,7,1.16,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,92,NaN,NaN,80.5,53.71,59.5,25.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 16:30,전라남도,㈜포스코 광양제철소,93,NaN,NaN,80.5,47.27,59.5,25.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
